blank,,,
G6P,1.02,10.8,0.092592593
glucose,0.948,4.8,0.207134241
mannitol,0.882,4.5,0.222882615
maltose,0.804,2.6,0.385353228
galactose,0.594,1.2,0.81248994
mannose,0.486,0.9,1.08256289
,0.888,4.82,
,0.924,4.29,
,0.864,3.2,
,0.828,2.68,
,0.786,2.35,
,0.762,1.91,
,0.684,1.61,
,0.606,1.54,
,0.57,1.57,
,0.498,1.44,
